iter	Passed	Remaining
418	2702	3747
419	2708	3740
420	2714	3733
421	2721	3727
422	2727	3720
423	2734	3714
424	2740	3708
425	2746	3700
426	2752	3694
427	2759	3687
428	2765	3681
429	2772	3674
430	2779	3668
431	2785	3662
432	2791	3655
433	2798	3650
434	2805	3643
435	2811	3636
436	2817	3629
437	2823	3622
438	2829	3615
439	2836	3609
440	2842	3603
441	2848	3596
442	2855	3590
443	2861	3583
444	2868	3577
445	2875	3571
446	2881	3564
447	2887	3557
448	2893	3550
449	2899	3543
450	2905	3537
451	2911	3530
452	2918	3524
453	2924	3517
454	2931	3511
455	2938	3505
456	2945	3499
457	2951	3492
458	2957	3486
459	2964	3479
460	2970	3473
461	2977	3466
462	2983	3460
463	2990	3454
464	2997	3448
465	3003	3442
466	3010	3435
467	3017	3430
468	3024	3424
469	3030	3417
470	3036	3410
471	3042	3403
472	3049	3397
473	3056	3391
474	3062	3384
475	3068	3378
476	3074	3371
477	3081	3365
478	3087	3358
479	3093	3351
480	3100	3345
481	3106	3338
482	3112	3332
483	3119	3325
484	3125	3318
485	3131	3311
486	3137	3305
487	3143	3297
488	3149	3291
489	3156	3285
490	3162	3278
491	3168	3271
492	3175	3265
493	3182	3259
494	3189	3253
495	3195	3246
496	3201	3240
497	3208	3234
498	3214	3227
499	3221	3221
500	3227	3214
501	3233	3207
502	3240	3202
503	3247	3195
504	3254	3189
505	3261	3184
506	3268	3178
507	3274	3171
508	3281	3165
509	3287	3158
510	3293	3151
511	3299	3145
512	3305	3138
513	3312	3131
514	3318	3125
515	3325	3119
516	3332	3113
517	3338	3106
518	3344	3099
519	3351	3093
520	3357	3086
521	3363	3079
522	3369	3073
523	3375	3066
524	3381	3059
525	3387	3052
526	3393	3045
527	3399	3039
528	3406	3032
529	3412	3026
530	3418	3019
531	3424	3012
532	3431	3006
533	3438	3000
534	3444	2994
535	3451	2987
536	3457	2980
537	3463	2974
538	3470	2968
539	3476	2961
540	3483	2955
541	3490	2949
542	3497	2943
543	3505	2938
544	3510	2931
545	3517	2924
546	3524	2918
547	3529	2911
548	3535	2904
549	3541	2897
550	3547	2890
551	3554	2884
552	3560	2877
553	3567	2871
554	3572	2864
555	3579	2858
556	3585	2852
557	3592	2845
558	3599	2839
559	3605	2832
560	3612	2826
561	3618	2820
562	3625	2813
563	3631	2807
564	3637	2800
565	3644	2794
566	3651	2788
567	3657	2781
568	3663	2775
569	3669	2768
570	3676	2762
571	3683	2756
572	3689	2749
573	3695	2742
574	3703	2737
575	3709	2730
576	3715	2724
577	3722	2717
578	3731	2713
579	3737	2706
580	3745	2700
581	3751	2694
582	3756	2687
583	3762	2680
584	3768	2673
585	3774	2666
586	3781	2660
587	3786	2653
588	3792	2646
589	3798	2639
590	3804	2632
591	3810	2626
592	3816	2619
593	3823	2613
594	3829	2606
595	3836	2600
596	3843	2594
597	3849	2587
598	3856	2581
599	3862	2575
600	3869	2568
601	3875	2562
602	3882	2556
603	3889	2549
604	3895	2543
605	3901	2536
606	3908	2530
607	3914	2523
608	3920	2517
609	3927	2510
610	3933	2504
611	3940	2498
612	3947	2492
613	3954	2485
614	3960	2479
615	3967	2472
616	3973	2466
617	3980	2460
618	3985	2453
619	3991	2446
620	3997	2439
621	4004	2433
622	4010	2426
623	4016	2420
624	4022	2413
625	4028	2406
626	4034	2399
627	4040	2393
628	4047	2387
629	4052	2380
630	4059	2373
631	4065	2367
632	4071	2360
633	4078	2354
634	4085	2348
635	4091	2341
636	4098	2335
637	4104	2329
638	4110	2322
639	4117	2315
640	4123	2309
641	4130	2303
642	4136	2296
643	4142	2290
644	4149	2283
645	4154	2276
646	4161	2270
647	4167	2263
648	4174	2257
649	4180	2251
650	4186	2244
651	4193	2238
652	4199	2231
653	4205	2224
654	4212	2218
655	4218	2212
656	4224	2205
657	4230	2198
658	4236	2191
659	4242	2185
660	4248	2178
661	4254	2171
662	4260	2165
663	4266	2158
664	4272	2152
665	4278	2145
666	4284	2139
667	4290	2132
668	4297	2126
669	4304	2120
670	4311	2113
671	4318	2107
672	4323	2100
673	4329	2094
674	4335	2087
675	4342	2081
676	4348	2074
677	4356	2068
678	4363	2062
679	4370	2056
680	4377	2050
681	4383	2044
682	4390	2037
683	4396	2031
684	4402	2024
685	4407	2017
686	4413	2010
687	4420	2004
688	4427	1998
689	4434	1992
690	4440	1985
691	4445	1978
692	4451	1972
693	4457	1965
694	4464	1959
695	4472	1953
696	4478	1947
697	4485	1940
698	4491	1934
699	4497	1927
700	4504	1921
701	4510	1914
702	4517	1908
703	4523	1901
704	4529	1895
705	4535	1888
706	4542	1882
707	4548	1875
708	4554	1869
709	4560	1862
710	4566	1856
711	4573	1850
712	4579	1843
713	4585	1836
714	4592	1830
715	4598	1824
716	4605	1817
717	4611	1811
718	4618	1804
719	4623	1798
720	4629	1791
721	4635	1784
722	4642	1778
723	4648	1772
724	4655	1765
725	4661	1759
726	4667	1752
727	4673	1746
728	4679	1739
729	4686	1733
730	4692	1726
731	4699	1720
732	4705	1714
733	4712	1707
734	4718	1701
735	4725	1694
736	4732	1688
737	4739	1682
738	4745	1676
739	4752	1669
740	4758	1663
741	4766	1657
742	4772	1650
743	4779	1644
744	4785	1637
745	4791	1631
746	4798	1625
747	4804	1618
748	4810	1612
749	4817	1605
750	4824	1599
751	4830	1593
752	4837	1586
753	4843	1580
754	4848	1573
755	4855	1567
756	4861	1560
757	4867	1553
758	4873	1547
759	4879	1540
760	4886	1534
761	4891	1527
762	4898	1521
763	4904	1515
764	4911	1508
765	4919	1502
766	4925	1496
767	4931	1489
768	4938	1483
769	4944	1477
770	4951	1470
771	4957	1464
772	4964	1457
773	4971	1451
774	4978	1445
775	4984	1438
776	4991	1432
777	4997	1426
778	5004	1419
779	5010	1413
780	5017	1406
781	5023	1400
782	5030	1394
783	5037	1387
784	5043	1381
785	5049	1374
